Section,Distance (km),Sub Distance (km),skid,Latitude,Longitude
0102100F02,80.577,11.065,0.270000011,13.7114572,100.5650466
0102100F02,80.582,11.07,0.270000011,13.7114633,100.5650903
0102100F02,80.587,11.075,0.270000011,13.7114757,100.5651381
0102100F02,80.592,11.08,0.270000011,13.7114866,100.5651841
0102100F02,80.597,11.085,0.283333331,13.7114901,100.5652298
0102100F02,80.602,11.09,0.264999986,13.7114984,100.5652746
0102100F02,80.607,11.095,0.25999999,13.7115057,100.5653186
0102100F02,80.612,11.1,0.266666651,13.711513,100.5653636
0102100F02,80.617,11.105,0.239999995,13.7115182,100.5654073
0102100F02,80.622,11.11,0.239999995,13.7115262,100.5654507
0102100F02,80.627,11.115,0.24666667,13.7115338,100.5654918
0102100F02,80.632,11.12,0.219999999,13.7115491,100.5655438
0102100F02,80.637,11.125,0.200000003,13.7115595,100.5655883
0102100F02,80.642,11.13,0.200000003,13.7115696,100.5656328
0102100F02,80.647,11.135,0.176666677,13.7115797,100.5656779
0102100F02,80.652,11.14,0.215000004,13.7115904,100.5657232
0102100F02,80.657,11.145,0.25666666,13.7116006,100.5657694
0102100F02,80.662,11.15,0.223333314,13.7116103,100.5658139
0102100F02,80.667,11.155,0.245000005,13.7116203,100.5658581
0102100F02,80.672,11.16,0.219999984,13.7116307,100.5659037
0102100F02,80.677,11.165,0.226666674,13.7116406,100.5659479
0102100F02,80.682,11.17,0.230000004,13.7116508,100.5659934
0102100F02,80.687,11.175,0.226666674,13.7116607,100.5660383
0102100F02,80.692,11.18,0.209999993,13.7116707,100.5660832
0102100F02,80.697,11.185,0.230000004,13.7116807,100.5661283
0102100F02,80.702,11.19,0.219999999,13.7116907,100.5661733
0102100F02,80.707,11.195,0.236666664,13.7117003,100.5662183
0102100F02,80.712,11.2,0.224999994,13.7117098,100.5662635
0102100F02,80.717,11.205,0.219999999,13.7117202,100.5663084
0102100F02,80.722,11.21,0.24333334,13.7117304,100.5663536
0102100F02,80.727,11.215,0.245000005,13.7117404,100.5663994
0102100F02,80.732,11.22,0.25,13.7117501,100.5664442
0102100F02,80.737,11.225,0.286666662,13.7117603,100.5664892
0102100F02,80.742,11.23,0.254999995,13.7117706,100.5665358
0102100F02,80.747,11.235,0.245000005,13.711781,100.566581
0102100F02,80.752,11.24,0.223333314,13.7117907,100.5666269
0102100F02,80.757,11.245,0.230000004,13.7118011,100.5666722
0102100F02,80.762,11.25,0.219999999,13.7118105,100.5667165
0102100F02,80.767,11.255,0.213333324,13.71182,100.5667629
0102100F02,80.772,11.26,0.219999999,13.7118305,100.5668078
0102100F02,80.777,11.265,0.224999994,13.71184,100.5668529
0102100F02,80.782,11.27,0.213333324,13.7118496,100.5668981
0102100F02,80.787,11.275,0.230000004,13.7118591,100.566943
0102100F02,80.792,11.28,0.25999999,13.7118686,100.5669888
0102100F02,80.797,11.285,0.25999999,13.7118776,100.5670338
0102100F02,80.802,11.29,0.25666666,13.7118872,100.5670792
0102100F02,80.807,11.295,0.25999999,13.7118964,100.5671234
0102100F02,80.812,11.3,0.266666681,13.7119055,100.5671692
0102100F02,80.817,11.305,0.283333331,13.7119145,100.5672138
0102100F02,80.822,11.31,0.284999996,13.7119243,100.5672588
0102100F02,80.827,11.315,0.266666681,13.7119362,100.5673048
0102100F02,80.832,11.32,0.25,13.7119451,100.5673488
0102100F02,80.837,11.325,0.25,13.711957,100.567395
0102100F02,80.842,11.33,0.230000004,13.7119673,100.5674409
0102100F02,80.847,11.335,0.24000001,13.7119773,100.5674856
0102100F02,80.852,11.34,0.239999995,13.7119873,100.5675316
0102100F02,80.857,11.345,0.239999995,13.7119972,100.5675764
0102100F02,80.862,11.35,0.24333334,13.7120065,100.5676217
0102100F02,80.867,11.355,0.25,13.7120142,100.5676652
0102100F02,80.872,11.36,0.229999989,13.7120252,100.5677125
0102100F02,80.877,11.365,0.150000006,13.7120356,100.5677596
0102100F02,80.882,11.37,0.150000006,13.7120456,100.5678037
0102100F02,80.887,11.375,0.140000001,13.7120552,100.5678481
0102100F02,80.892,11.38,0.166666672,13.7120657,100.5678929
0102100F02,80.897,11.385,0.194999993,13.7120755,100.5679372
0102100F02,80.902,11.39,0.204999998,13.7120858,100.5679827
0102100F02,80.907,11.395,0.220000014,13.7120952,100.5680281
0102100F02,80.912,11.4,0.239999995,13.7121056,100.5680733
0102100F02,80.917,11.405,0.245000005,13.712115,100.568118
0102100F02,80.922,11.41,0.25,13.7121249,100.5681627
0102100F02,80.927,11.415,0.209999993,13.7121342,100.568208
0102100F02,80.932,11.42,0.189999998,13.7121445,100.5682528
0102100F02,80.937,11.425,0.196666673,13.7121547,100.5682972
0102100F02,80.942,11.43,0.189999998,13.7121643,100.5683422
0102100F02,80.947,11.435,0.204999998,13.7121748,100.5683874
0102100F02,80.952,11.44,0.220000014,13.7121853,100.5684325
0102100F02,80.957,11.445,0.189999998,13.7121942,100.5684771
0102100F02,80.962,11.45,0.194999993,13.7122043,100.5685211
0102100F02,80.967,11.455,0.180000007,13.7122144,100.5685656
0102100F02,80.972,11.46,0.203333333,13.7122242,100.5686107
0102100F02,80.977,11.465,0.230000004,13.7122355,100.568657
0102100F02,80.982,11.47,0.216666654,13.7122459,100.5687017
0102100F02,80.987,11.475,0.200000003,13.7122568,100.5687464
0102100F02,80.992,11.48,0.224999994,13.7122684,100.5687908
