Section,Distance (km),Sub Distance (km),GNaverage,Latitude,Longitude
0102100F01,42.853,10.635,0.200000003,13.712778,100.5614251
0102100F01,42.858,10.64,0.166666672,13.7127503,100.5614615
0102100F01,42.863,10.645,0.159999996,13.7127234,100.5614991
0102100F01,42.868,10.65,0.163333341,13.7126962,100.561536
0102100F01,42.873,10.655,0.163333341,13.7126687,100.5615726
0102100F01,42.878,10.66,0.164999992,13.7126408,100.5616092
0102100F01,42.883,10.665,0.186666667,13.7126122,100.5616438
0102100F01,42.888,10.67,0.183333337,13.7125841,100.5616796
0102100F01,42.893,10.675,0.209999993,13.7125561,100.5617162
0102100F01,42.898,10.68,0.185000002,13.7125282,100.5617521
0102100F01,42.903,10.685,0.180000007,13.7125008,100.5617891
0102100F01,42.908,10.69,0.204999998,13.7124734,100.5618256
0102100F01,42.913,10.695,0.215000004,13.712446,100.5618621
0102100F01,42.918,10.7,0.226666674,13.7124184,100.5618995
0102100F01,42.923,10.705,0.215000004,13.7123906,100.5619363
0102100F01,42.928,10.71,0.219999999,13.7123634,100.5619729
0102100F01,42.933,10.715,0.200000003,13.7123363,100.5620101
0102100F01,42.938,10.72,0.219999999,13.7123087,100.5620488
0102100F01,42.943,10.725,0.209999993,13.7122812,100.5620845
0102100F01,42.948,10.73,0.203333333,13.712254,100.5621204
0102100F01,42.953,10.735,0.219999999,13.7122272,100.562157
0102100F01,42.958,10.74,0.239999995,13.7122004,100.5621936
0102100F01,42.963,10.745,0.236666664,13.7121735,100.5622308
0102100F01,42.968,10.75,0.230000004,13.7121467,100.5622688
0102100F01,42.973,10.755,0.25999999,13.7121207,100.562306
0102100F01,42.978,10.76,0.24666667,13.7120946,100.5623432
0102100F01,42.982,10.765,0.245000005,13.7120679,100.5623804
0102100F01,42.987,10.77,0.215000004,13.7120415,100.5624175
0102100F01,42.992,10.775,0.236666664,13.7120156,100.5624561
0102100F01,42.998,10.78,0.230000004,13.7119885,100.5624952
0102100F01,43.003,10.785,0.224999994,13.7119638,100.5625348
0102100F01,43.008,10.79,0.24000001,13.7119402,100.5625754
0102100F01,43.013,10.795,0.213333324,13.7119157,100.5626151
0102100F01,43.018,10.8,0.230000004,13.7118916,100.5626539
0102100F01,43.022,10.805,0.25333333,13.7118673,100.562693
0102100F01,43.028,10.81,0.25,13.7118432,100.5627328
0102100F01,43.033,10.815,0.25,13.7118195,100.5627721
0102100F01,43.038,10.82,0.25666666,13.7117971,100.562811
0102100F01,43.043,10.825,0.270000011,13.7117751,100.5628517
0102100F01,43.048,10.83,0.284999996,13.7117546,100.5628928
0102100F01,43.053,10.835,0.289999992,13.7117342,100.5629336
0102100F01,43.058,10.84,0.336666673,13.711714,100.5629744
0102100F01,43.063,10.845,0.314999998,13.7116939,100.5630156
0102100F01,43.068,10.85,0.324999988,13.7116751,100.5630571
0102100F01,43.073,10.855,0.313333333,13.7116566,100.5630991
0102100F01,43.078,10.86,0.314999998,13.7116384,100.5631413
0102100F01,43.083,10.865,0.324999988,13.7116215,100.5631842
0102100F01,43.088,10.87,0.330000013,13.7116049,100.5632268
0102100F01,43.093,10.875,0.305000007,13.7115885,100.5632698
0102100F01,43.098,10.88,0.25999999,13.7115725,100.563312
0102100F01,43.103,10.885,0.270000011,13.7115568,100.5633552
0102100F01,43.108,10.89,0.245000005,13.7115415,100.5633975
0102100F01,43.113,10.895,0.230000004,13.7115274,100.5634414
0102100F01,43.118,10.9,0.219999984,13.7115132,100.5634857
0102100F01,43.123,10.905,0.209999993,13.7115004,100.56353
0102100F01,43.128,10.91,0.209999993,13.7114874,100.5635755
0102100F01,43.133,10.915,0.219999984,13.7114756,100.5636207
0102100F01,43.138,10.92,0.203333333,13.7114642,100.5636643
0102100F01,43.143,10.925,0.204999998,13.7114526,100.5637073
0102100F01,43.148,10.93,0.216666654,13.7114413,100.5637495
0102100F01,43.153,10.935,0.25999999,13.7114324,100.563794
0102100F01,43.158,10.94,0.305000007,13.7114242,100.5638397
0102100F01,43.163,10.945,0.273333341,13.7114166,100.5638851
0102100F01,43.168,10.95,0.276666671,13.7114093,100.563931
0102100F01,43.173,10.955,0.289999992,13.7114027,100.5639768
0102100F01,43.178,10.96,0.296666682,13.7113966,100.5640227
0102100F01,43.183,10.965,0.330000013,13.7113909,100.5640684
0102100F01,43.188,10.97,0.319999993,13.7113854,100.5641148
0102100F01,43.193,10.975,0.340000004,13.7113809,100.5641597
0102100F01,43.198,10.98,0.310000002,13.7113766,100.5642071
0102100F01,43.203,10.985,0.25999999,13.7113736,100.5642531
0102100F01,43.208,10.99,0.234999999,13.711371,100.564299
0102100F01,43.213,10.995,0.199999988,13.7113695,100.5643461
0102100F01,43.218,11,0.119999997,13.7113686,100.5643925
0102100F01,43.223,11.005,0.07,13.711368,100.5644387
0102100F01,43.228,11.01,0.093333334,13.7113683,100.5644846
0102100F01,43.233,11.015,0.109999999,13.7113696,100.5645307
0102100F01,43.238,11.02,0.100000001,13.7113716,100.5645771
0102100F01,43.243,11.025,0.140000001,13.7113738,100.5646235
0102100F01,43.248,11.03,0.175000012,13.7113771,100.5646698
0102100F01,43.253,11.035,0.175000012,13.7113816,100.5647154
0102100F01,43.258,11.04,0.183333337,13.711386,100.5647615
0102100F01,43.263,11.045,0.150000006,13.7113911,100.5648085
0102100F01,43.268,11.05,0.175000012,13.7113963,100.5648544
0102100F01,43.273,11.055,0.143333331,13.7114022,100.5649007
0102100F01,43.278,11.06,0.175000012,13.7114086,100.5649466
0102100F01,43.283,11.065,0.164999992,13.7114151,100.564992
0102100F01,43.288,11.07,0.189999998,13.7114218,100.5650375
0102100F01,43.293,11.075,0.223333314,13.7114301,100.5650837
0102100F01,43.298,11.08,0.219999999,13.7114382,100.5651301
0102100F01,43.303,11.085,0.200000003,13.7114463,100.5651755
0102100F01,43.308,11.09,0.283333331,13.7114546,100.5652205
0102100F01,43.313,11.095,0.295000017,13.7114634,100.5652659
0102100F01,43.318,11.1,0.300000012,13.7114724,100.5653112
0102100F01,43.323,11.105,0.319999993,13.7114813,100.5653564
0102100F01,43.328,11.11,0.319999993,13.7114897,100.5654014
0102100F01,43.333,11.115,0.336666673,13.711498,100.5654459
0102100F01,43.338,11.12,0.310000002,13.7115074,100.565491
0102100F01,43.343,11.125,0.280000001,13.711521,100.5655372
0102100F01,43.348,11.13,0.296666682,13.7115318,100.5655833
0102100F01,43.353,11.135,0.319999993,13.7115407,100.5656285
0102100F01,43.358,11.14,0.284999996,13.7115499,100.5656737
0102100F01,43.363,11.145,0.289999992,13.7115594,100.5657182
0102100F01,43.368,11.15,0.283333331,13.7115697,100.5657632
0102100F01,43.373,11.155,0.300000012,13.7115802,100.5658077
0102100F01,43.378,11.16,0.324999988,13.71159,100.5658529
0102100F01,43.383,11.165,0.319999993,13.7115959,100.5658978
0102100F01,43.388,11.17,0.275000006,13.711604,100.5659429
0102100F01,43.393,11.175,0.239999995,13.7116137,100.5659889
0102100F01,43.397,11.18,0.276666671,13.7116238,100.5660341
0102100F01,43.402,11.185,0.245000005,13.7116334,100.5660785
0102100F01,43.407,11.19,0.24000001,13.7116437,100.5661248
0102100F01,43.413,11.195,0.200000003,13.7116536,100.5661706
0102100F01,43.418,11.2,0.24333334,13.7116641,100.5662158
0102100F01,43.423,11.205,0.245000005,13.7116746,100.566261
0102100F01,43.428,11.21,0.24000001,13.7116847,100.5663055
0102100F01,43.433,11.215,0.24666667,13.7116938,100.5663508
0102100F01,43.438,11.22,0.219999999,13.7117038,100.5663962
0102100F01,43.443,11.225,0.194999993,13.7117134,100.5664414
0102100F01,43.448,11.23,0.183333337,13.7117224,100.5664865
0102100F01,43.453,11.235,0.185000002,13.7117322,100.5665318
0102100F01,43.458,11.24,0.180000007,13.711742,100.566576
0102100F01,43.463,11.245,0.200000003,13.7117521,100.5666208
0102100F01,43.468,11.25,0.185000002,13.7117616,100.5666658
0102100F01,43.473,11.255,0.219999999,13.711772,100.5667112
0102100F01,43.478,11.26,0.230000004,13.7117826,100.5667564
0102100F01,43.483,11.265,0.206666663,13.7117927,100.5668016
0102100F01,43.488,11.27,0.239999995,13.7118028,100.5668462
0102100F01,43.493,11.275,0.273333341,13.7118128,100.566891
0102100F01,43.498,11.28,0.25333333,13.7118223,100.5669359
0102100F01,43.503,11.285,0.254999995,13.7118321,100.5669813
0102100F01,43.508,11.29,0.264999986,13.711842,100.5670272
0102100F01,43.513,11.295,0.25666666,13.7118501,100.5670695
0102100F01,43.518,11.3,0.210000008,13.7118598,100.5671149
0102100F01,43.523,11.305,0.234999999,13.7118707,100.5671622
0102100F01,43.528,11.31,0.230000004,13.711881,100.5672074
0102100F01,43.533,11.315,0.275000006,13.7118911,100.5672526
0102100F01,43.538,11.32,0.275000006,13.711901,100.5672975
0102100F01,43.543,11.325,0.24000001,13.7119108,100.5673428
0102100F01,43.548,11.33,0.24000001,13.7119206,100.5673881
0102100F01,43.553,11.335,0.270000011,13.7119302,100.567433
0102100F01,43.558,11.34,0.230000004,13.7119403,100.5674779
0102100F01,43.563,11.345,0.226666674,13.7119504,100.5675226
0102100F01,43.568,11.35,0.155000001,13.7119604,100.5675676
0102100F01,43.573,11.355,0.189999998,13.7119704,100.5676127
0102100F01,43.578,11.36,0.200000003,13.7119805,100.5676579
0102100F01,43.583,11.365,0.129999995,13.7119906,100.5677029
0102100F01,43.588,11.37,0.150000006,13.7120009,100.5677481
0102100F01,43.593,11.375,0.129999995,13.7120111,100.5677934
0102100F01,43.598,11.38,0.109999999,13.7120204,100.5678384
0102100F01,43.603,11.385,0.125,13.7120298,100.5678837
