Section,Distance (km),Sub Distance (km),,Latitude,Longitude
0101100F02,74.966,3.055,0.300000012,13.7540696,100.5463531
0101100F02,74.971,3.06,0.289999992,13.7540388,100.5463786
0101100F02,74.976,3.065,0.289999992,13.7539902,100.5464208
0101100F02,74.981,3.07,0.346666664,13.7539552,100.546454
0101100F02,74.986,3.075,0.270000011,13.7539195,100.5464855
0101100F02,74.991,3.08,0.284999996,13.7538894,100.5465183
0101100F02,74.996,3.085,0.25,13.753861,100.5465522
0101100F02,75.001,3.09,0.254999995,13.7538289,100.5465857
0101100F02,75.006,3.095,0.25999999,13.7537954,100.5466188
0101100F02,75.011,3.1,0.273333341,13.7537652,100.5466526
0101100F02,75.016,3.105,0.289999992,13.7537356,100.5466874
0101100F02,75.021,3.11,0.270000011,13.7537052,100.5467229
0101100F02,75.026,3.115,0.270000011,13.7536764,100.5467573
0101100F02,75.031,3.12,0.275000006,13.7536476,100.5467931
0101100F02,75.036,3.125,0.275000006,13.7536191,100.546829
0101100F02,75.041,3.13,0.280000001,13.7535913,100.546865
0101100F02,75.046,3.135,0.283333331,13.7535648,100.5469015
0101100F02,75.051,3.14,0.300000012,13.7535374,100.5469384
0101100F02,75.056,3.145,0.286666662,13.7535095,100.546975
0101100F02,75.061,3.15,0.266666651,13.7534799,100.5470128
0101100F02,75.066,3.155,0.284999996,13.7534537,100.5470502
0101100F02,75.071,3.16,0.24000001,13.7534281,100.5470877
0101100F02,75.076,3.165,0.273333341,13.7534016,100.5471261
0101100F02,75.081,3.17,0.270000011,13.7533756,100.5471655
0101100F02,75.086,3.175,0.254999995,13.7533501,100.547203
0101100F02,75.091,3.18,0.25,13.7533251,100.5472405
0101100F02,75.096,3.185,0.239999995,13.7533003,100.5472788
0101100F02,75.101,3.19,0.230000004,13.7532746,100.5473188
