Section,InterLat,InterLon,InterAlt,FrameNoCalculated,Sub_Distance__km_,MeasuredChainage,ReferencePoints,Latitude__deg_,Longitude__deg_,GPS_position_is_calculated,ImageFilename
0401302R05,13.64421188,100.6820288,4.359289645,336,0.368,0.3680019,Kanchanapisak Expressway,13.64418975,100.6820559,FALSE,335.jpg
0401302R05,13.64425253,100.6820544,4.311408591,337,0.373,0.3730993,Kanchanapisak Expressway,13.64422929,100.6820829,FALSE,336.jpg
0401302R05,13.64429318,100.68208,4.20993994,338,0.378,0.3781662,Kanchanapisak Expressway,13.64426882,100.6821099,FALSE,337.jpg
0401302R05,13.64433383,100.6821056,3.62036036,339,0.383,0.3832321,Kanchanapisak Expressway,13.64430836,100.6821369,FALSE,338.jpg
0401302R05,13.64437448,100.6821312,3.67403,340,0.388,0.3882742,Kanchanapisak Expressway,13.64434789,100.6821639,FALSE,339.jpg
0401302R05,13.64441513,100.6821568,4.17137,341,0.393,0.3933344,Kanchanapisak Expressway,13.64438743,100.6821909,FALSE,340.jpg
0401302R05,13.64445578,100.6821823,7.198895552,342,0.398,0.3983736,Kanchanapisak Expressway,13.64442696,100.6822179,FALSE,341.jpg
0401302R05,13.64449643,100.6822079,9.551275,343,0.403,0.4034014,Kanchanapisak Expressway,13.6444665,100.6822449,FALSE,342.jpg
0401302R05,13.64453708,100.6822335,9.79315,344,0.408,0.4084291,Kanchanapisak Expressway,13.64450604,100.6822719,FALSE,343.jpg
0401302R05,13.64457773,100.6822591,8.377575,345,0.413,0.4134607,Kanchanapisak Expressway,13.64454557,100.6822989,FALSE,344.jpg
0401302R05,13.64461838,100.6822847,5.13399,346,0.418,0.4184818,Kanchanapisak Expressway,13.64458511,100.6823259,FALSE,345.jpg
0401302R05,13.64465903,100.6823103,3.91004002,347,0.424,0.4235315,Kanchanapisak Expressway,13.64462464,100.6823529,FALSE,346.jpg
0401302R05,13.64469968,100.6823359,3.878824412,348,0.429,0.4285555,Kanchanapisak Expressway,13.64466418,100.6823799,FALSE,347.jpg
0401302R05,13.64474033,100.6823614,3.866373626,349,0.434,0.4335699,Kanchanapisak Expressway,13.64470371,100.6824069,FALSE,348.jpg
0401302R05,13.64478097,100.682387,3.861333666,350,0.439,0.4386063,Kanchanapisak Expressway,13.64474325,100.6824339,FALSE,349.jpg
0401302R05,13.64482162,100.6824126,3.845505506,351,0.444,0.4436226,Kanchanapisak Expressway,13.64478279,100.6824609,FALSE,350.jpg
